GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
52,5,27.0,10.0,3000.0,143.718,0.0035151591,0.0002196974,7,0.0001098487,0.0003923169,0.0048490365,32.6677,40.8673,4.7508,28,0.0013966,6,0.0,0.0
55,5,23.0,10.0,5000.0,129.2322,0.0033038124,0.0002594617,4,0.0002940566,0.0004324362,0.0043070643,32.9194,42.3454,4.8434,22,0.0011935,5,0.0,0.00020757
56,4,30.0,10.0,200.0,69.9612,0.0011010906,0.0003355705,4,0.0002936242,0.0004614094,0.002925755,44.6475,75.3548,4.043,22,0.00074455,6,0.0,0.00018876
57,3,19.0,20.0,400.0,107.6016,0.0010335422,0.0002131015,1,5.32753697310659e-05,0.0005434088,0.0037825513,29.2203,53.7352,4.9155,19,0.0004262,7,0.0,0.00038358
77,4,20.0,14.0,2708.0,117.4884,0.0029442751,0.0005267713,2,1.88132595853558e-05,0.0004138917,0.0053994055,52.014,46.4321,3.3746,29,0.0010347,7,0.0002727923,0.00047033
81,4,18.0,24.0,800.0,155.9856,0.0050539084,0.000524109,8,2.49575721273834e-05,0.0003993212,0.0035689328,24.4632,52.1538,6.5664,27,0.0013103,6,0.0,0.0
93,4,26.0,4.0,190.0,79.2948,0.0003785385,0.000255102,3,1.64581961816985e-05,0.000164582,0.0035549704,39.6381,65.5,4.2269,19,0.00075708,7,0.0001069783,0.00026333
97,3,18.0,12.0,350.0,67.4754,0.0004225216,0.0001690086,1,2.41440919407021e-05,0.0001448646,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0.0,0.00043459
98,3,38.0,6.0,1000.0,119.4366,0.0049520434,5.21267723102585e-05,2,8.68779538504309e-05,3.47511815401724e-05,0.0027279678,54.8718,79.2102,6.2293,21,0.0014943,5,0.0,0.0
105,4,28.0,8.0,2000.0,50.8374,0.0006641086,0.0002213695,1,1.84474616292798e-05,0.0001475797,0.0026564345,45.7902,76.8889,3.5,13,0.00066411,6,0.0,0.00029516
118,5,16.0,14.0,350.0,107.9118,0.0067013056,0.0007061018,5,1.33226751931788e-05,0.0004662936,0.0032374101,67.0744,71.3251,4.3786,27,0.0013323,9,0.0002398082,0.0
127,4,26.0,28.0,1100.0,114.7806,0.0026296126,0.0002873894,5,0.000244281,0.0003448672,0.0036498448,40.4427,59.937,4.9961,16,0.0015806,5,0.0,0.0
132,5,21.0,10.0,800.0,115.1274,0.0026511485,0.000660037,8,9.90055443104814e-05,0.0006930388,0.0041472322,30.766,49.4854,4.679,30,0.00082505,8,0.0,0.00051703
138,6,21.0,6.0,500.0,133.7016,0.0044997946,0.0004201053,3,1.8671346950969e-05,7.46853878038762e-05,0.0038743045,21.4686,50.5253,5.4892,29,0.0010083,10,0.0,0.00056014
139,5,18.0,20.0,800.0,99.5088,0.00073402,0.000108298,1,2.40662302656912e-05,0.0005775895,0.0026954178,22.7265,68.7321,6.7054,23,0.0019614,7,0.0,0.0
141,4,17.0,14.0,500.0,216.6936,0.012494649,0.0004815925,4,5.35102739726027e-05,0.0001070205,0.0043343322,27.9255,45.1605,6.3395,18,0.001204,5,0.0,0.0
142,4,23.0,20.0,800.0,129.8598,0.0023150778,0.0003337689,5,7.81161231678218e-05,0.0010084081,0.0034726167,36.3934,57.5215,6.7587,36,0.00075276,11,0.0002840586,0.0012286
149,5,25.0,6.0,800.0,74.1174,0.000875,0.0002053571,6,1.78571428571429e-05,4.46428571428571e-05,0.0035178571,46.4122,71.8173,3.7944,34,0.00092857,5,0.0,0.0
158,6,18.0,10.0,160.0,150.5004,0.0056666894,0.0006315286,6,0.0003755035,0.0004096402,0.0046255206,30.2222,45.5941,4.9077,14,0.001007,6,0.0,0.0
160,3,19.0,6.0,150.0,64.6416,0.0006723442,0.0003361721,1,0.0001540789,0.000203104,0.0027594128,53.5776,78.2944,4.2284,41,0.00063733,6,7.00358583594801e-05,6.3032e-05
162,5,16.0,16.0,1000.0,128.0784,0.002753792,9.49583449393533e-05,4,0.0002405611,0.0001645945,0.0039692588,35.393,56.4019,5.2711,27,0.00043048,8,0.0,0.0
163,6,16.0,28.0,500.0,161.3466,0.006109907,0.0005774825,9,0.000327953,0.0007272001,0.0041350596,34.1209,47.1034,5.8466,48,0.0013475,9,0.0003778589,0.00017111
169,6,20.0,14.0,730.0,162.0876,0.0075967266,0.0005716349,7,0.0002557314,0.0007521512,0.0039864011,23.5303,51.034,5.7698,28,0.0026024,6,0.0,1.5043e-05
175,3,16.0,24.0,300.0,81.0702,0.0017467932,0.0001042862,0,2.60715403066013e-05,0.0001433935,0.0026201898,47.48,75.0846,5.0796,14,0.00080822,6,2.60715403066013e-05,3.9107e-05
178,5,22.0,8.0,300.0,157.332,0.0077426648,0.0002234725,1,0.0001314544,0.0009859081,0.0037990325,33.0417,57.7716,5.8581,29,0.0018929,6,0.0,0.0
180,4,23.0,4.0,100.0,67.6194,0.001565762,0.0003983079,4,4.12042632677728e-05,0.0011262499,0.0016619053,49.4333,89.9174,7.1322,17,0.00083782,6,9.61432809581365e-05,0.0002747
181,2,25.0,10.0,200.0,75.9642,0.0006096651,0.0001368636,4,0.0001244214,0.0003234957,0.0020902802,45.1018,78.3095,6.5417,15,0.00093316,6,0.0,0.0
182,5,25.0,12.0,200.0,164.1114,0.0033720319,0.0004038924,7,0.0001127142,0.0015686054,0.0049876014,40.4604,43.7815,5.6365,32,0.0012774,8,0.0002160355,0.0010896
184,4,20.0,14.0,270.0,101.7864,0.0014531755,0.0005382131,2,5.38213132400431e-05,0.0003049874,0.004180122,22.569,54.6094,4.2961,15,0.00096878,4,0.0,0.00021529
